Number,Frequency
0.436485529269,0.001
0.502610447078,0.001
0.474806071723,0.001
0.849488738053,0.001
0.403444769033,0.001
0.441148521801,0.001
0.149285317685,0.001
0.840811019732,0.001
0.231548072549,0.001
0.398840431673,0.001
0.906607637926,0.001
0.356197124197,0.001
0.926591407921,0.001
0.875619185861,0.001
0.86251355608,0.001
0.786620619434,0.001
0.298781879351,0.001
0.0756227989588,0.001
0.70216141559,0.001
0.0539150249126,0.001
0.698887431041,0.001
0.585221786249,0.001
0.875282307423,0.001
0.267406409848,0.001
0.941846156554,0.001
0.470321190785,0.001
0.409152997277,0.001
0.955902104073,0.001
0.266600860335,0.001
0.945032861684,0.001
0.853873280356,0.001
0.609395770739,0.001
0.454406514534,0.001
0.806301519653,0.001
0.174226046904,0.001
0.701676640971,0.001
0.0202128441928,0.001
0.121272967729,0.001
0.332908648478,0.001
0.489309090739,0.001
0.490019801365,0.001
0.677088774826,0.001
0.351184864004,0.001
0.848335066104,0.001
0.211577337615,0.001
0.580068833325,0.001
0.811906616237,0.001
0.738874240712,0.001
0.82352596035,0.001
0.457094446232,0.001
0.345529342039,0.001
0.948624898958,0.001
0.0202821806779,0.001
0.614754488935,0.001
0.597857960508,0.001
0.163026099379,0.001
0.733205370753,0.001
0.234420312716,0.001
0.889231735619,0.001
0.515233570711,0.001
0.986111934206,0.001
0.583124454385,0.001
0.197363776359,0.001
0.992734727279,0.001
0.762236890801,0.001
0.240122332737,0.001
0.391191273431,0.001
0.16131401315,0.001
0.109753497117,0.001
0.450245888917,0.001
0.237078836719,0.001
0.0943538030868,0.001
0.702914543499,0.001
0.494537864143,0.001
0.126406210442,0.001
0.0471346584649,0.001
0.90922863605,0.001
0.416998184703,0.001
0.152548331542,0.001
0.460359378541,0.001
0.0521539496452,0.001
0.947743190027,0.001
0.202839463667,0.001
0.741655521846,0.001
0.523978312436,0.001
0.777036746629,0.001
0.626271428272,0.001
0.983693920937,0.001
0.84686764491,0.001
0.641697252296,0.001
0.494728369317,0.001
0.294893545972,0.001
0.382365313479,0.001
0.655251828502,0.001
0.407819631355,0.001
0.63665542189,0.001
0.116768717671,0.001
0.641650292306,0.001
0.935339543937,0.001
0.798546884491,0.001
0.222062273767,0.001
0.982556201553,0.001
0.110444677257,0.001
0.996997458381,0.001
0.201364366534,0.001
0.71792303015,0.001
0.415799193754,0.001
0.472126776548,0.001
0.225699929287,0.001
0.41992336115,0.001
0.249302431672,0.001
0.809028740045,0.001
0.848076459984,0.001
0.983739017242,0.001
0.933190226406,0.001
0.445036471022,0.001
0.0732238516662,0.001
0.38706809372,0.001
0.547072056252,0.001
0.901509385449,0.001
0.464796367488,0.001
0.823049671143,0.001
0.329371992272,0.001
0.701075920468,0.001
0.477496449894,0.001
0.121707581869,0.001
0.692000093343,0.001
0.309431142142,0.001
0.873371018516,0.001
0.971565379556,0.001
0.982849969977,0.001
0.112851874929,0.001
0.608729497146,0.001
0.0906791858742,0.001
0.920692820737,0.001
0.239222322893,0.001
0.28937299088,0.001
0.908485553121,0.001
0.97350110787,0.001
0.675528470659,0.001
0.182781255126,0.001
0.567330503625,0.001
0.400269441012,0.001
0.359320445769,0.001
0.82855337365,0.001
0.648084070846,0.001
0.684698727689,0.001
0.771795183282,0.001
0.0862038322525,0.001
0.724101455046,0.001
0.285515383779,0.001
0.156919517102,0.001
0.111440319895,0.001
0.594964417939,0.001
0.574770555695,0.001
0.493628101838,0.001
0.803657924311,0.001
0.74280730512,0.001
0.206190148304,0.001
0.278511519023,0.001
0.0058870855978,0.001
0.142338076851,0.001
0.464926322995,0.001
0.433872780184,0.001
0.864069647992,0.001
0.965863628818,0.001
0.644222900752,0.001
0.251505219133,0.001
0.385175417238,0.001
0.893644739329,0.001
0.0786184283885,0.001
0.794084957043,0.001
0.485217417904,0.001
0.853144104148,0.001
0.23374991003,0.001
0.790572818364,0.001
0.354085772621,0.001
0.194360062469,0.001
0.800169646969,0.001
0.342734426592,0.001
0.39275532536,0.001
0.280828804555,0.001
0.327945724549,0.001
0.975005809422,0.001
0.580740396726,0.001
0.31695065443,0.001
0.192553089533,0.001
0.775810426692,0.001
0.976772895772,0.001
0.846549700853,0.001
0.174785661562,0.001
0.863597586195,0.001
0.920477584892,0.001
0.31385479213,0.001
0.175726462686,0.001
0.886319834533,0.001
0.728928764348,0.001
0.303178171831,0.001
0.541798316264,0.001
0.711507998998,0.001
0.963122808502,0.001
0.701297448973,0.001
0.943491186309,0.001
0.0375005326314,0.001
0.0930074711325,0.001
0.00580880208584,0.001
0.877797575036,0.001
0.953125333052,0.001
0.772765354099,0.001
0.0748578535437,0.001
0.575281356485,0.001
0.383386242298,0.001
0.872252371772,0.001
0.989532209201,0.001
0.833176648727,0.001
0.214958483413,0.001
0.00994406981388,0.001
0.423622955936,0.001
0.0112310682312,0.001
0.831027251373,0.001
0.0371279739554,0.001
0.36131035476,0.001
0.372507445227,0.001
0.191130932362,0.001
0.811879381954,0.001
0.702726350159,0.001
0.904764161727,0.001
0.339406126002,0.001
0.331352823437,0.001
0.725949992452,0.001
0.19867521281,0.001
0.733661748663,0.001
0.628394403665,0.001
0.749894849592,0.001
0.899329655265,0.001
0.616700165628,0.001
0.712663167336,0.001
0.654490373451,0.001
0.673852085147,0.001
0.73272399071,0.001
0.758950946074,0.001
0.0192914319579,0.001
0.772394180638,0.001
0.512072563788,0.001
0.617020131127,0.001
0.363533855621,0.001
0.85259866999,0.001
0.363083960379,0.001
0.919770722284,0.001
0.981803422625,0.001
0.429309967011,0.001
0.378920439278,0.001
0.512234695077,0.001
0.00228445328099,0.001
0.581104764443,0.001
0.439975600234,0.001
0.244072737873,0.001
0.20812825309,0.001
0.609770072666,0.001
0.654997839844,0.001
0.549843671728,0.001
0.744921938188,0.001
0.0803949290381,0.001
0.907043712528,0.001
0.905058163348,0.001
0.518191356592,0.001
0.229911153348,0.001
0.702451011221,0.001
0.475771557663,0.001
0.725929283468,0.001
0.648258473162,0.001
0.305274380633,0.001
0.351635350661,0.001
0.735804108969,0.001
0.225690908414,0.001
0.549490242604,0.001
0.582597285659,0.001
0.866403849245,0.001
0.807481082679,0.001
0.418365852614,0.001
0.220619093858,0.001
0.719402586517,0.001
0.991485392645,0.001
0.205780336262,0.001
0.441533466009,0.001
0.512811462192,0.001
0.00321395684971,0.001
0.126455716083,0.001
0.718277024108,0.001
0.289282700657,0.001
0.65351951838,0.001
0.426272056109,0.001
0.681621594964,0.001
0.214755367271,0.001
0.232385706054,0.001
0.197388481572,0.001
0.612277078996,0.001
0.475458767712,0.001
0.270851757919,0.001
0.603793198622,0.001
0.796461875144,0.001
0.996092851734,0.001
0.906293209621,0.001
0.8850621877,0.001
0.556387005872,0.001
0.385436207141,0.001
0.587548077827,0.001
0.667507470593,0.001
0.0311539266998,0.001
0.346588762849,0.001
0.103195585971,0.001
0.795410845141,0.001
0.43240777053,0.001
0.103157347938,0.001
0.315230524157,0.001
0.784936977305,0.001
0.403086817838,0.001
0.538144900039,0.001
0.0272396006386,0.001
0.920539691726,0.001
0.271178163947,0.001
0.0500484498612,0.001
0.753187973116,0.001
0.201721271006,0.001
0.0930188100841,0.001
0.66639049976,0.001
0.711449942916,0.001
0.0700535046496,0.001
0.334059581101,0.001
0.467617435602,0.001
0.0416815484345,0.001
0.548253624508,0.001
0.357997342581,0.001
